USERID,gender,date,noMeals,mealNo,Time,mealType,Where,noPeople,Who,Who2,Who3,AmoFo,Mood,Stress,Serving Weight Grams,Calories,Fat (g),Saturated Fat (g),Sodium (mg),Total Carbohydrates (g),Fiber (g),Sugars (g),Protein (g),Vitamin A (%DV)
1,2,4/29/2022,2,m1,5:00:00 PM,4,1,0,0,0,0,2,4,0,98,380,22,10,170,42,2,20,6,0
1,2,4/29/2022,2,m2,10:30:00 PM,5,1,0,0,0,0,1,4,0,0,370,8,1.5,890,63,10,4,11,0
1,2,4/30/2022,2,m1,2:30:00 PM,3,1,0,0,0,0,2,4,1,888.01,941.2418,21.3302,4.1238,796.2861,137.0948,3.9841,28.3929,47.8276,12.7
1,2,4/30/2022,2,m2,10:17:00 PM,5,1,0,0,0,0,1,4,3,244,290.5227,16.2195,8.5071,893.3616,18.2393,1.5353,6.6747,19.7525,81
1,2,5/1/2022,3,m1,2:20:00 PM,3,1,0,0,0,0,1,4,3,78,285,16.5,3.75,465,27,0,0.75,7.5,0
1,2,5/1/2022,3,m2,5:00:00 PM,4,1,0,0,0,0,2,4,4,28,140,6,1,190,18,0,1,3,0
1,2,5/1/2022,3,m3,10:15:00 PM,5,1,0,0,0,0,1,4,5,630,912.133,43.586,24.485,4145.206,63.3358,4.3565,11.5041,70.0776,101
1,2,5/2/2022,1,m1,5:00:00 PM,3,1,0,0,0,0,1,3,7,420,775.5846,29.3436,16.8634,1281.8257,95.9515,3.5641,40.9813,32.3676,80
1,2,5/3/2022,2,m1,2:00:00 PM,4,1,0,0,0,0,2,1,10,25,120,10,6,0,13,0,9,2,0
1,2,5/3/2022,2,m2,8:00:00 PM,5,1,0,0,0,0,3,2,7,254,622.6372,31.432,8.7387,2791.5893,56.7303,3.5711,7.145,27.5968,16
1,2,5/4/2022,1,m1,8:30:00 PM,5,1,0,0,0,0,1,3,2,736.8,725.264,35.9592,10.4704,2171.76,73.0392,6.8,18.0249,30.8599,255.6
1,2,5/5/2022,2,m1,6:00:00 PM,3,1,0,0,0,0,2,4,1,817.89,515.1924,15.3227,5.8883,1331.7832,83.8816,3,40.523,11.4908,0
1,2,5/5/2022,2,m2,10:00:00 PM,5,1,0,0,0,0,2,4,3,664.5,749.39,14.6595,3.3016,2151.16,91.3858,8.204,31.9752,58.9315,254.2
1,2,5/6/2022,2,m1,4:30:00 PM,3,1,0,0,0,0,1,4,1,1021.39,415.9724,9.9652,2.3576,118.5082,70.8975,1.859,32.5689,10.4373,89.3
1,2,5/6/2022,2,m2,11:30:00 PM,5,1,0,0,0,0,2,4,2,619.6,1308.7698,77.9015,19.7687,2049.2231,124.9824,15.3066,13.7185,32.8459,252
1,2,5/7/2022,2,m1,5:30:00 PM,3,8,0,0,0,0,2,4,5,575.8,278.2155,0.5981,0.3733,19.0046,67.5564,0.4515,22.4743,1.1612,1.3
1,2,5/7/2022,2,m2,10:30:00 PM,5,1,0,0,0,0,1,4,6,323,187.4853,0.7467,0.0609,455.9714,40.4294,1.6296,9.8675,3.8686,8.1
1,2,5/8/2022,1,m1,6:12:00 PM,5,5,4,1,0,0,2,4,2,624.93,1221.1107,62.1656,30.4171,1165.7198,123.2035,7.4711,52.6896,47.0209,23
1,2,5/9/2022,1,m1,9:30:00 PM,5,1,2,1,0,0,1,4,1,142,340,12,7,620,50,2,8,11,0
1,2,5/10/2022,3,m1,4:30:00 PM,3,1,1,1,0,0,2,5,0,380.67,537.28,29.4653,6.2604,627.54,34.3089,3.9967,7.8223,32.8901,17.2
1,2,5/10/2022,3,m2,10:00:00 PM,5,1,0,0,0,0,1,4,2,263.93,382.8667,8.8269,2.0914,149.2567,32.0693,2.166,0.8745,40.7408,1.6
1,2,5/10/2022,3,m3,11:30:00 PM,6,1,0,0,0,0,1,2,6,0,40,0,0,0,9,0,7,0,0
2,2,4/13/2022,2,m1,3:00:00 PM,3,3,0,0,0,0,2,2,7,88.5,377.305,19.812,8.2488,313.105,43.1623,3.1795,18.0245,7.9263,16
2,2,4/13/2022,2,m2,9:00:00 PM,6,1,0,0,0,0,1,2,7,367.25,599.0318,34.40398,7.26697,336.8676,50.18035,9.71593,6.9408,25.94335,113.7
2,2,4/14/2022,4,m1,12:00:00 PM,1,3,1,3,0,0,1,4,3,28,106.7255,4.5525,3.905,66.5105,15.2821,1.2394,11.8609,1.6754,1.1
2,2,4/14/2022,4,m2,4:00:00 PM,4,1,0,0,0,0,1,4,3,464.73,767.2123,49.3439,7.3602,817.5209,71.9298,8.2605,19.4149,11.9813,113.7
2,2,4/14/2022,4,m3,8:00:00 PM,5,5,5,1,0,0,2,5,0,0,160,0,0,10,25,0,10,0,0
2,2,4/14/2022,4,m4,11:15:00 PM,6,1,0,0,0,0,1,5,0,289.9,146.9878,0.3031,0.1867,10.2623,35.7382,0.2258,12.4952,0.5806,1
2,2,4/15/2022,2,m1,3:00:00 PM,3,3,1,3,0,0,2,4,1,289.9,146.9878,0.3031,0.1867,10.2623,35.7382,0.2258,12.4952,0.5806,1
2,2,4/15/2022,2,m2,9:00:00 PM,5,10,3,3,0,0,2,5,0,199.52,304.8027,16.5772,7.2635,707.7883,27.8056,1.7752,1.4612,10.716,16
2,2,4/16/2022,2,m1,2:15:00 PM,3,4,1,3,0,0,1,5,0,329.94,917.8778,47.6153,9.9295,1320.546,95.2036,4.9088,14.4549,27.8565,38
2,2,4/16/2022,2,m2,8:00:00 PM,5,5,2,3,0,0,2,5,0,329.94,917.8778,47.6153,9.9295,1320.546,95.2036,4.9088,14.4549,27.8565,38
2,2,4/17/2022,3,m1,10:30:00 AM,1,1,0,0,0,0,2,1,6,211.69,319.6791,12.8497,1.1291,2298.79,31.0471,2.021,0.7558,19.8381,7.8
2,2,4/17/2022,3,m2,2:00:00 PM,3,10,0,0,0,0,2,1,6,474.33,486.0133,28.5475,4.7882,570.3211,34.9102,12.028,5.7192,26.3535,105.1
2,2,4/17/2022,3,m3,8:00:00 PM,5,4,0,0,0,0,2,1,9,35,137.6123,5.0319,2.858,114.9744,21.9108,1.036,12.5987,1.9824,4.6
2,2,4/18/2022,2,m1,5:00:00 PM,3,1,0,0,0,0,1,1,10,57,170,4.5,0.5,230,28,1,7,5,0
2,2,4/18/2022,2,m2,8:40:00 PM,5,1,0,0,0,0,2,4,5,100,261.4983,17.2414,7.1096,423.2966,23.9056,2.0846,1.5911,3.4869,39
2,2,4/19/2022,2,m1,12:30:00 PM,3,3,0,0,0,0,2,1,6,105,312,15.066,2.1267,375,39.075,6.03,0.351,7.934999,0.7
2,2,4/19/2022,2,m2,11:00:00 PM,5,1,0,0,0,0,2,1,7,475.79,1020.779,58.38896,23.83226,1629.537,35.89891,0.87582,18.00741,85.79364,10.4
2,2,4/20/2022,3,m1,3:30:00 PM,3,1,1,3,0,0,1,4,4,208,500,18,6,890,58,3,3,28,0
2,2,4/21/2022,2,m1,4:30:00 PM,3,3,0,0,0,0,2,2,6,322.49,713.1737,40.5306,11.6244,1615.895,51.1984,5.724,3.0689,33.88,47.2
2,2,4/21/2022,2,m2,11:00:00 PM,5,1,0,0,0,0,2,2,7,166.5,348.8633,20.3249,4.1508,792.2146,14.428,2.0618,3.0037,26.6022,11
2,2,4/22/2022,2,m1,10:00:00 PM,4,1,0,0,0,0,1,3,5,28,140,7,0.5,140,18,1,1,2,0
2,2,4/22/2022,2,m2,11:00:00 PM,5,10,0,0,0,0,2,1,8,359.85,747.1445,31.3025,2.8221,1536.315,97.2925,4.9595,4.806,19.161,94.1
2,2,4/23/2022,2,m1,11:20:00 AM,3,5,3,1,3,0,1,5,2,257.88,593.2156,24.892,2.2376,1079.652,77.114,3.4876,3.5268,14.9988,75
2,2,4/23/2022,2,m2,10:30:00 PM,5,1,0,0,0,0,2,1,8,492.5,511.275,22.9345,8.7946,1468.15,48.9856,5.935,3.7509,29.8891,632.6
2,2,4/24/2022,2,m1,4:15:00 PM,4,3,2,3,0,0,1,4,3,362.5,557.0028,11.6921,2.0626,282.0281,48.5926,1.6365,1.7759,34.6716,2.9
2,2,4/24/2022,2,m2,9:00:00 PM,5,1,0,0,0,0,1,2,6,529.85,588.6617,22.4487,10.2801,184.2535,92.6673,2.3387,36.8558,6.8709,1.5
2,2,4/25/2022,3,m1,2:00:00 PM,3,1,0,0,0,0,1,3,4,452,1036.025,60.5604,14.285,2382.745,108.1735,17.9815,10.2292,25.6353,80.7
2,2,4/25/2022,3,m2,5:30:00 PM,5,1,1,3,0,0,2,4,4,98,560,27,11,350,74,6,27,9,0
2,2,4/25/2022,3,m3,8:00:00 PM,6,1,0,0,0,0,1,4,4,98,560,27,11,350,74,6,27,9,0
2,2,4/26/2022,2,m1,6:00:00 PM,4,1,0,0,0,0,1,2,7,147,470,12,7,400,84,2,29,8,9.4
2,2,4/26/2022,2,m2,7:00:00 PM,5,1,0,0,0,0,1,4,6,127.93,231.5304,20.8594,6.6013,682.2883,30.3372,0.6983,0.2576,15.449,2.6
2,2,4/27/2022,3,m1,11:30:00 AM,1,1,0,0,0,0,1,3,4,263.16,486.0392,25.5244,6.482,446.7855,32.3957,2.4826,1.549,33.1872,43.8
2,2,4/27/2022,3,m2,2:30:00 PM,3,5,2,3,0,0,2,5,2,270.17,531.0117,22.2274,9.9971,773.2267,63.8431,6.761,15.2206,21.8938,60
2,2,4/27/2022,3,m3,4:00:00 PM,4,6,2,1,0,0,1,5,3,270.17,531.0117,22.2274,9.9971,773.2267,63.8431,6.761,15.2206,21.8938,60
2,2,4/28/2022,2,m1,5:00:00 PM,5,3,0,0,0,0,1,3,4,708.17,660.8198,39.8595,11.1062,1049.037,111.6744,13.2716,46.6267,25.2102,80.6
2,2,4/28/2022,2,m2,10:30:00 PM,6,1,0,0,0,0,1,3,4,5,0.05,0,0,0.05,0,0,0,0.011,0
2,2,4/29/2022,2,m1,8:30:00 PM,5,1,0,0,0,0,1,4,4,98,380,22,10,170,42,2,20,6,0
